Session_Name,Sequence_Number
reject_cause_15_5,1
reject_cause_26_4,2
reject_cause_27_3,3
reject_cause_21_2,4
reject_cause_22_2,5
reject_cause_26_1,6
reject_cause_27_4,7
reject_cause_7_2,8
reject_cause_11_4,9
reject_cause_22_5,10
reject_cause_10_5,11
reject_cause_24_2,12
reject_cause_11_2,13
reject_cause_13_2,14
reject_cause_11_1,15
reject_cause_15_3,16
benign_4,17
reject_cause_26_2,18
reject_cause_24_4,19
benign_5,20
reject_cause_9_5,21
reject_cause_21_1,22
reject_cause_13_5,23
reject_cause_26_3,24
reject_cause_7_3,25
reject_cause_26_5,26
benign_1,27
reject_cause_24_5,28
reject_cause_9_1,29
reject_cause_27_1,30
reject_cause_22_4,31
reject_cause_9_4,32
reject_cause_13_4,33
reject_cause_9_2,34
reject_cause_21_3,35
reject_cause_13_1,36
reject_cause_15_2,37
reject_cause_11_3,38
reject_cause_27_2,39
reject_cause_21_4,40
reject_cause_24_1,41
reject_cause_7_1,42
benign_3,43
reject_cause_9_3,44
reject_cause_13_3,45
reject_cause_10_1,46
reject_cause_11_5,47
reject_cause_15_4,48
reject_cause_10_2,49
reject_cause_27_5,50
reject_cause_10_4,51
reject_cause_21_5,52
reject_cause_22_1,53
reject_cause_22_3,54
reject_cause_24_3,55
benign_2,56
reject_cause_10_3,57
reject_cause_15_1,58
